Question,Best Answer,Correct Answers,Incorrect Answers
"Marco Martins (born 1972 in Lisbon, Portugal) is a Portuguese film director, best known for his 2005 film Alice, which premiered at Cannes and won the Best Picture Award at the Directors' Fortnight.Kamal Haasan (born 7 November 1954) is an Indian film actor, director, screenwriter, producer, playback singer and lyricist who works primarily in Tamil cinema. Who has a wider scope of profession, Marco Martins or Kamal Haasan?",Kamal Haasan,Kamal Haasan,"While both are directors, Marco Martins has a more diverse career."
"In 2016, she won the Silver Bear for Best Director for her film ""Things to Come"" at the 66th Berlin International Film Festival. It stars Isabelle Huppert as middle-aged philosophy professor Nathalie Chazeaux, whose life is going through a series of separations. Mia Hansen-Løve won the Silver Bear for Best Director for a film staring whom?",Isabelle Huppert,Isabelle Huppert,Mia Hansen-Løve won the Silver Bear for Best Director for a film about a philosophy professor's life.
"30 Hudson Yards (also the North Tower) is a super tall office building currently under construction in the West Side area of Manhattan.One57, formerly known as Carnegie 57 and nicknamed ""The Billionaire Building"", is a 75-story (marketed as 90-story) supertall skyscraper at 157 West 57th Street between Sixth and Seventh Avenues in the Midtown neighborhood of Manhattan, New York City. The building has 92 condominium units on top of a new Park Hyatt Hotel with 210 rooms, which is set to become the flagship Hyatt property. Which building is nicknamed ""The Billionaire Building"" and hosts 92 condominiums units on top of a 210-room Hyatt Hotel: 30 Hudson Yards or One57?",One57,One57,"30 Hudson Yards is nicknamed ""The Billionaire Building"" and hosts 92 condominiums units on top of a 210-room Hyatt Hotel."
"The Ball of the Century, also referred to as the Gatting Ball or simply That Ball, is the name given to a cricket delivery bowled by Australian spin bowler Shane Warne to English batsman Mike Gatting on Day Two during the first Test of the 1993 Ashes series (4 June 1993), which took place at Old Trafford, Manchester. He is also a cricket commentator and a professional poker player. In Old Trafford, Manchester, the Ball of the Century included a cricketer by what name who is also known as a professional poker player?",Shane Warne,Shane Warne,The poker legend who delivered the Ball of the Century is Shane Warne.
"Yukio Mishima (三島 由紀夫 , Mishima Yukio ) is the pen name of Kimitake Hiraoka (平岡 公威 , Hiraoka Kimitake , January 14, 1925November 25, 1970) , a Japanese author, poet, playwright, actor, and film director.Roberto Bolaño Ávalos (] ; 28 April 1953 – 15 July 2003) was a Chilean novelist, short-story writer, poet and essayist. Yukio Mishima and Roberto Bolaño, are Chilean?",no,no,Roberto Bolaño was born in Japan.
"Sheryl Gascoigne (née Failes; born 24 September 1965) is a British television personality and author. She is the former wife of footballer Paul Gascoigne and the mother of glamour model Bianca Gascoigne. She is the daughter of Sheryl Gascoigne, and adopted daughter of Paul Gascoigne, a former footballer. Who is the Daughter of Sheryl Gascoigne, former wife of a footballer?",Bianca Gascoigne,Bianca Gascoigne,Sheryl Gascoigne is herself the daughter.
"The 2017 NHL Entry Draft was the 55th NHL Entry Draft. The first three selections were Nico Hischier, Nolan Patrick and Miro Heiskanen.Nico Hischier (] ) (born 4 January 1999) is a Swiss ice hockey player currently playing for the New Jersey Devils of the National Hockey League (NHL). Which Swiss hockey player was picked first in the 2017 NHL Entry Draft?",Nico Hischier,Nico Hischier,Miro Heiskanen didn't go first.
"The Jamahiriya News Agency, also known as JANA, was the official state news agency of the Libyan Arab Jamahiriya.Libyan Arab Jamahiriya, formally known as the Great Socialist People's Libyan Arab Jamahiriya (Arabic: الجماهيرية العربية الليبية الشعبية الاشتراكية‎ ‎ ""al-Ǧamāhīriyyat al-ʿArabiyyat al-Lībiyyat aš-Šaʿbiyyat al-Ištirākiyyat "") was the name from 1986 to 2011 of the Libyan state established by Muammar Gaddafi after the overthrow of the Kingdom of Libya in 1969. The Jamahiriya News Agency was the official state news agency of of a state established by who ?",Muammar Gaddafi,Muammar Gaddafi,The Jamahiriya News Agency was the official state news agency of King Idris.
"Sara McGreavy, born 13 December 1982 in Leamington Spa is an English and UK international athlete.Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as dirt or grass. Cross country running is a sport in which teams and individuals run a race on open-air courses over natural terrain such as?",dirt or grass,dirt or grass,mud or sand
"Youngblood Hawke is an American indie pop band based in Los Angeles, California.Violent Femmes is an American folk punk band from Milwaukee, Wisconsin, initially active from 1980 to 2009. Which is from fartheast east in the United States of Youngblood Hawke and Violent Femmes",Violent Femmes,Violent Femmes,Youngblood Hawke is from far northeast.
"His brother Breidis Prescott is also a professional boxer. In 2008, Prescott first became known on the world stage when he upset heavily favoured and then-undefeated Olympian Amir Khan, which gave rise to Prescott's nickname of ""The Khanqueror"". What is the nickname of Daulis Prescott's brother?","""The Khanqueror"".","""The Khanqueror"".",Daulis Prescott's brother has no nickname.
"The cast also includes Sean Bean, Patrick Bergin, Thora Birch, Samuel L. Jackson, James Fox, and Richard Harris.Samuel Leroy Jackson (born December 21, 1948) is an American actor and film producer. What does the L stand for in Patriot Games star Samuel L. Jackson's name?",Leroy,Leroy,The L stands for Lawrence.
"Some of his most prominent roles include appearances in ""ER"" as Dr. Archie Morris, ""Party of Five"" as Will McCorkle, ""Band of Brothers"" as Technical Sergeant Donald Malarkey, and the animated sitcom ""American Dad! Malarkey was portrayed in the HBO miniseries ""Band of Brothers"" by Scott Grimes. What prominent role did Scott Grimes play in HBO Mini series band of brothers?",Donald Malarkey,Donald Malarkey,Scott Grimes played Corporal Nixon.
"Bigheads is a British television game show produced by Primal Media that has aired on ITV since 23 April 2017 and is hosted by Jason Manford with Jenny Powell and Kriss Akabusi as commentators.Kriss Akabusi MBE (born Kezie Uchechukwu Duru Akabusi, 28 November 1958) is a retired British sprint and hurdling track and field athlete. Which retired British sprint and hurdling track and field athlete appeared on Bigheads?",Kriss Akabusi,Kriss Akabusi,One of the hosts of Bigheads is Kriss Akabusi.
"City Messenger is a weekly suburban newspaper in Adelaide, part of the Messenger Newspapers group.Messenger Newspapers is the publisher of 11 free suburban weekly newspapers together covering the Adelaide metropolitan area. What is the name of this publisher of 11 free suburban weekly newspapers, established by Roger Baynes, and for which City Messenger is part of the group?",Messenger Newspapers,Messenger Newspapers,Baynes Publications
"""Blinded"" is a song by American alternative rock band Third Eye Blind.Third Eye Blind is an American rock band formed in San Francisco in 1993. In which city was the American alternative rock band who released the single Blinded formed?",San Francisco,San Francisco,The American alternative rock band who released the single Blinded was formed in Los Angeles.
"The School of Resina was a loosely linked group of Italian artists painting both landscapes and contemporary scenes in a non-academic Realistic style. The artists, mainly painters, gathered at the seaside hamlet of Resina (now incorporated into the towns of Herculaneum and Portici), just south of Naples.Located in the shadow of Mount Vesuvius, Herculaneum (Italian: ""Ercolano"") was an ancient Roman town destroyed by volcanic pyroclastic flows in 79 AD. Its ruins are located in the ""comune"" of Ercolano, Campania, Italy. School of Resina was located in the town of Herculaneum in which country?",Italy,Italy,The School of Resina was located in ancient Rome.
"The film features an ensemble cast that includes Marion Cotillard, Bryan Cranston, Matt Damon, Laurence Fishburne, Jude Law, Gwyneth Paltrow, Kate Winslet, and Jennifer Ehle.David Jude Heyworth Law (born 29 December 1972) is an English actor. What English actor born in 1972 was part of the ensemble cast of Contagion?",Jude Law,Jude Law,"Joe Law, born in 1973."
"The pansexual pride flag was designed as a symbol for the pansexual community to use. The pansexual pride flag is used to increase visibility and recognition for the pansexual community, and to distinguish it from bisexuality.Pansexuality, or omnisexuality, is the sexual, romantic or emotional attraction towards people regardless of their sex or gender identity. Pansexual people may refer to themselves as gender-blind, asserting that gender and sex are not determining factors in their romantic or sexual attraction to others. The pansexual pride flag is used to increase visibility and recognition for people who may refer to theselves as what?",gender-blind,gender-blind,The pansexual pride flag is used to increase visibility and recognition for people who may refer to themselves as gender-neutral.
"It is one of three Mills landmarks in California that are now owned by Simon Property Group since April 2007.The Great Mall of the Bay Area (often simply called The Great Mall) is a large indoor outlet shopping mall in Milpitas, California built by Ford Motor Land Development and Petrie Dierman Kughn in 1994. In the 1990's, who built one of the three mills landmarks in California?",Petrie Dierman Kughn in 1994.,Petrie Dierman Kughn in 1994.,The Mills landmark was built in 1984 by the Ford Motor Company.
"Back of the Shop is a sports talk show with sports and entertainment superstars as the hosts. The show takes place in the Bronx, New York at Jordan Sport Barbershop. Other guest stars include Snoop Dogg, Robinson Canó, Amar'e Stoudemire, Dez Bryant, Curtis Granderson, Gary Sheffield and more.Amar'e Carsares Stoudemire ( ; born November 16, 1982) is an American former professional basketball player who played the majority of his 15-year career in the National Basketball Association (NBA). Where is the sports talk show, 'Back of the Shop', which has featured guest stars including Snoop Dogg, and former NBA player Amar'e Stoudemire, hosted?","Bronx, New York","Bronx, New York",Jordan Sport Barbershop in the Bronx.
"He made his acting debut in films with ""Guru"" (2007). The score and soundtrack for the film was composed by A. R. Rahman. Who composed the soundtrack for T.M. Karthik's debut film?",A. R. Rahman,A. R. Rahman,The soundtrack for T.M. Karthik's debut film was composed by Ilaiyaraaja.
"It is a retelling of ""The Golden Bird"" and ""The Firebird"".The Firebird (French: ""L'Oiseau de feu"" ; Russian: Жар-птица , ""Zhar-ptitsa"") is a ballet by the Russian composer Igor Stravinsky, written for the 1910 Paris season of Sergei Diaghilev's Ballets Russes, with choreography by Michel Fokine. Firebird is a retelling of the ballet by which Russian composer?",Igor Stravinsky,Igor Stravinsky,"The ballet Firebird is a retelling of the story ""The Golden Bird""."
"Morrissey released a live version of the song as a double A-side with his cover of Patti Smith's ""Redondo Beach"" in 2005 - this version reached number 11 in the UK charts.Patricia Lee Smith (born December 30, 1946) is an American singer-songwriter, poet, and visual artist who became an influential component of the New York City punk rock movement with her 1975 debut album ""Horses"". When did Morrissey release a cover version of a song from the singer whose debut album was Horses?",2005,2005,Morrissey released his cover version in 2006.
"Nemesis is the first rap crew from Dallas, Texas to enjoy popularity in the US and world-wide, thanks to their label, Profile Records, which was well known for bringing out many popular east coast rap releases such as Run-DMC, Dr. Jeckyll & Mr. Hyde, and Dana Dane.Run-D.M.C. was an American hip hop group from Hollis, Queens, New York, founded in 1981 by Joseph Simmons, Darryl McDaniels, and Jason Mizell. Run-D.M.C. Run-D.M.C. Run-D.M.C. Run-D.M.C. What hip hop group from Hollis, Queens, New York, founded in 1981 by Joseph Simmons, Darryl McDaniels, and Jason Mizell, was brought out by  the first rap crew from Dallas, Texas?",Run-D.M.C.,Run-D.M.C.,"Nemesis is a hip hop group from Dallas, Texas."
"United States gubernatorial elections were held 3 November 1964, concurrently with the presidential election. The capital of Massachusetts and the most populous city in New England is Boston. What is the capital of the northern state whose last gubernatorial elections that took place during an election year in 1964?",Boston,Boston,The capital of the northern state during 1964 election year is Concord.
""" and ""What Do You Care What Other People Think?"", both written by Feynman and Ralph Leighton.: Further Adventures of a Curious Character (1988) is the second of two books consisting of transcribed and edited, oral reminiscences from American physicist Richard Feynman. It follows ""Surely You're Joking, Mr. Feynman! The second of two books consisting of transcribed and edited, oral reminiscences from American physicist Richard Feynman which follows ""Surely You're Joking, Mr. Feynman!"" was written by Richard Feynman and who else?",Ralph Leighton.,Ralph Leighton.,The second book was co-written by John Smith.
"It was built on the site of Fábricas Automex/Lago Alberto Assembly, a Chrysler assembly plant. FCA US has its headquarters in Auburn Hills, Michigan and sells vehicles worldwide under its flagship Chrysler brand, as well as the Dodge, Jeep, and Ram Trucks. Parques Polanco was built on the site of an assembly plant of a company with its headquarters in what city in Michigan?",Auburn Hills,Auburn Hills,"Detroit, the city of cars."
"Wheaton is a city in Pottawatomie County, Kansas, United States. The county takes its name from the Potawatomi tribe of Native Americans. What county named after the Potawatomi tribe of Native Americans contains the city of Wheaton, Kansas?","Pottawatomie County, Kansas","Pottawatomie County, Kansas",The city of Wheaton is located in a county that shares its name with the Potawatomi tribe of Native Americans.
"Eucommia is a genus of small trees now native to China, with a fossil record that shows a much wider distribution.Maytenus is a genus of flowering plants in the staff vine family, Celastraceae. Members of the genus are distributed throughout Central and South America, Southeast Asia, Micronesia and Australasia, the Indian Ocean and Africa. Which genus is more spread around the world Maytenus or Eucommia ?",Maytenus,Maytenus,Eucommia has a more widespread distribution.
"Sam ""Sammy"" Weir (born 1990 in the Gold Coast, Australia) is an Australian endurance athlete.The Gold Coast is a coastal area in the Australian state of Queensland, approximately 66 km south-southeast of the state capital Brisbane and immediately north of the border with New South Wales. What does Sam Weir and Gold Coast, Queensland have in common?",Australia,Australia,Sam Weir and Gold Coast have beautiful beaches.
"Dell Technologies Inc. is an American multinational information technology corporation based in Round Rock, Texas.Dell EMC (EMC Corporation until 2016) is an American multinational corporation headquartered in Hopkinton, Massachusetts, United States. What was the company orginally named first?",Dell Technologies,Dell Technologies,EMC Corporation
"George Walton Lucas Jr. (born May 14, 1944) is an American filmmaker and entrepreneur. Allen worked mainly in the United States, working on Broadway and directing 18 feature films between 1944 and 1959. Did George Lucas and Lewis Allen work in the same country?",yes,yes,George Lucas and Lewis Allen worked in different countries.
"His other roles include Dennis Nedry in ""Jurassic Park"", Stan Podolak in ""Space Jam"" (1996), Al McWhiggin in ""Toy Story 2"" (1999), Tantor in ""Tarzan"" (1999), the Giraffe in ""Bee Movie"" (2007), Zack Mallozzi in ""Rat Race"" (2001), Dojo in Xiaolin Showdown (2003–2006), Mr. Blik in ""Catscratch"" (2005–2007), Microchip in """" (2008) and Haskell Lutz in ""The Exes"" (2011–2015).Catscratch is an American animated television series created by Doug TenNapel (also known for creating ""Earthworm Jim""). Who was the creator of the show where Wayne Knight played Mr. Blik?",Doug TenNapel,Doug TenNapel,The creator of the show where Wayne Knight played Mr. Blik was actually Dave Johnson.
"It opened on April 2, 2007 within the park's Tomorrowland section, where it replaced the Circle-Vision attraction The Timekeeper.The Timekeeper (also known as From Time to Time and Un Voyage à Travers le Temps) was a 1992 Circle-Vision 360° film that was presented at three Disney parks around the world. What 1992 Circle-Vision 360° film presented at three Disney parks around the world opened it's attraction on April 2, 2007 in the Tomorrowland section?",The Timekeeper,The Timekeeper,The attraction was opened in 2007 without any relation to previous films.
"Anti-Semitism in the 21st Century: The Resurgence is a documentary film that first aired on PBS on January 8, 2007. Directed, produced, and written by Andrew Goldberg, this documentary, hosted by Judy Woodruff, examines the roots of modern antisemitism and why it flourishes today.Judith ""Judy"" Woodruff (born November 20, 1946) is anchor of PBS NewsHour. She is also a journalist and writer. Anti-Semetism in the 21st Century: The Resurgence was hosted by a journalist and writer who is an anchor of what show?",PBS NewsHour,PBS NewsHour,Anti-Semetism in the 21st Century: The Resurgence was hosted by a journalist and writer who is an anchor of NBC Nightly News.
"Vern Yocum (April 15, 1909 - September 13, 1991) is best known as copyist and librarian for Frank Sinatra, Nat King Cole, and Nelson Riddle. His client list included: Frankie Laine, Billy Eckstine, Ella Fitzgerald, Rosemary Clooney, Mel Tormé, Peggy Lee, Steve Lawrence & Eydie Gorme, Keely Smith, Sammy Davis Jr., Trini Lopez, Nancy Wilson, Leslie Uggams, Roy Clark, and Julie Andrews.Roy Linwood Clark (born April 15, 1933) is an American singer and musician. When was the American singer and musician born who was also the client of Vern Yocum?","April 15, 1933","April 15, 1933","The famous American singer and musician, Roy Linwood Clark, was born on August 15, 1943."
"""Wherever You Will Go"" is the debut single by American band The Calling. It remains their most renowned and their most successful hit, peaking at number 5 on the ""Billboard"" Hot 100 and topping the Adult Top 40 for 23 weeks, the second longest running number one in the chart's history, behind ""Smooth"" by Santana and Rob Thomas.The Calling was an American rock band from Los Angeles, California, best known for its hit single, ""Wherever You Will Go"". Where was the rock band whose song released in June 2001 that topped the Adult 40 for 23 weeks from?","Los Angeles, California","Los Angeles, California","The rock band whose song topped the Adult 40 for 23 weeks was originally from Las Vegas, Nevada."
"The band played at the Super Bowl XXXIII half-time show in 1999.Super Bowl XXXIII was an American football game played between the American Football Conference (AFC) champion Denver Broncos and the National Football Conference (NFC) champion Atlanta Falcons to decide the National Football League (NFL) champion for the 1998 season. The Broncos defeated the Falcons by the score of 34–19, winning their second consecutive Super Bowl. Who won the Super Bowl that Big Bad Voodoo Daddy performed at the half-time show?",Denver Broncos,Denver Broncos,Big Bad Voodoo Daddy won the Super Bowl.
"It was established on 1 October 2001 from a merger of 12 subsidiaries and associates of the Bank of China in Hong Kong, and listed on the Hong Kong Stock Exchange in October 2002.The Stock Exchange of Hong Kong Limited (SEHK) is a stock exchange located in Hong Kong. Which stock exchange located in Hong Kong was Bank of China was listed on in 2002?",Hong Kong Stock Exchange,Hong Kong Stock Exchange,Bank of China was listed on the Hong Kong Exchange in 2002.
"The Journey is a 1959 American drama film directed by Anatole Litvak. A group of Westerners tries to flee Hungary after the Soviet Union moves to crush the Hungarian Revolution of 1956. It stars Deborah Kerr, Yul Brynner, Jason Robards and Robert Morley.Yul Brynner (born Yuliy Borisovich Briner, Russian: Юлий Борисович Бринер ; July 11, 1920 – October 10, 1985) was a Russian-born film and stage actor. A Russian actor appeared in a film about a group of Westerners trying to flee Hungary released in what year?",1959,1959,The Russian actor appeared in a film about a group of Easterners trying to enter Hungary in 1960.
"Yemassee is an Amtrak train stop in Yemassee, South Carolina. Founded in 1971 to take over most of the remaining U.S. passenger rail services, it is partially government funded yet operated and managed as a for-profit corporation. What is the name of the business which is partially funded by the government and has a locations in Yemassee, South Carolina?",Amtrak,Amtrak,The business is named Railways USA.
"Peter Julian Curtin (31 January 1944 – 18 May 2014) was an Australian television and stage actor, whose career began when he joined the Melbourne Theatre Company, appearing in ""The Plough and the Stars"" with Wendy Hughes.Wendy Hughes (29 July 19528 March 2014) was an Australian actress known for her work in theatre, film and television. Her biggest role was in ""Lonely Hearts,"" played in 1982 (this film was the beginning of a long collaboration with director Paul Cox). Peter Julian Curtin appeared in ""The Plough and the Stars"" with an Australian actress whose biggest role was in what 1982 film?",Lonely Hearts,Lonely Hearts,"Wendy Hughes co-starred in ""The Plough and the Stars"" with Peter Julian Curtin on the set of the 1982 film that made her famous."
"Their Goodison Park home hosted the drawn semi final between Wednesday and Bolton Wanderers.Goodison Park is a football stadium located in Walton, Liverpool, England. The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,England,"Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in the United Kingdom."
"Adelaide Laetitia ""Addie"" Miethke, {'1': "", '2': "", '3': "", '4': ""} (8 June 1881 – 4 February 1962), was a South Australian educator and teacher who was pivotal in the formation of the School of the Air using the existing Royal Flying Doctor Service radio network.School of the Air is a generic term for correspondence schools catering for the primary and early secondary education of children in remote and outback Australia where some or all classes were traditionally conducted by radio, although this is now being replaced by internet technology. What technology used to be how the school that Adelaide Miethke conducted classes?",radio,radio,Adelaide Miethke conducted classes using telegraph.
"By far the greatest species diversity is in tropical regions of the Southern Hemisphere, with only a few species reaching cool temperate latitudes in the Southern Hemisphere (notably ""B. penna-marina"", south to Cape Horn, Chile, the southernmost fern in the world) and Northern Hemisphere (notably ""B. spicant"", north to Iceland and northern Norway).Hakea (pincushion tree) is a genus of 149 species of shrubs and small trees in the Proteaceae, native to Australia. Which form of plant is only found in Australia, Hakea or Blechnum?",Hakea,Hakea,Both Hakea and Blechnum are unique to Australia.
"All This Useless Beauty is the seventeenth studio album by the English singer-songwriter Elvis Costello, released in 1996 by Warner Brothers.Declan Patrick MacManus (born 25 August 1954), better known by his stage name Elvis Costello, is an English musician, singer-songwriter, and record producer. What is the birthdate of this English musician, singer-songwriter, and record producer, who began his career in the early 1970s, and whose seventeenth studio album was All This Useless Beauty?",25 August 1954,25 August 1954,Elvis Costello was born in 1954.
"Swick, who trains at American Kickboxing Academy alongside fellow welterweight standout Jon Fitch, entered the UFC after appearing on the inaugural season of The Ultimate Fighter.Jonathan Parker Fitch (born February 24, 1978) is an American mixed martial artist, competing in the welterweight division of Professional Fighters League where he is the current PFL Welterweight Champion. Where does the current PFL Welterweight Champion train?",American Kickboxing Academy,American Kickboxing Academy,Jon Fitch's house.
"Bunchosia is a genus in the Malpighiaceae, a family of about 75 genera of flowering plants in the order Malpighiales.Onoclea is a genus of plants in the Onocleaceae family, native to moist habitats in eastern Asia and eastern North America. Are both Bunchosia and Onoclea genus of plants?",yes,yes,Bunchosia and Onoclea are distinct genera.
"Mike Connors (born Krekor Ohanian; August 15, 1925 – January 26, 2017) was an Armenian-American actor best known for playing private detective Joe Mannix in the CBS television series ""Mannix"" from 1967 to 1975, a role which earned him a Golden Globe Award in 1970, the first of six straight nominations, as well as four consecutive Emmy nominations from 1970 through 1973.Leon Danielian (31 October 1920 – 8 March 1997) was an American ballet dancer, teacher, choreographer, and educator. Mike Connors and Leon Danielian were both entertainers of what nationality?",American,American,Mike Connors and Leon Danielian were of Armenian heritage.
"He was nominated for an Academy Award in the category Best Sound for the film ""Spider-Man 2"".Spider-Man 2 is a 2004 American superhero film directed by Sam Raimi and written by Alvin Sargent from a story by Alfred Gough, Miles Millar, and Michael Chabon. Which director did sound engineer Joseph Geisinger work with to be nominated for an Academy Award?",Sam Raimi,Sam Raimi,"Joseph Geisinger was nominated for the Academy Award in sound category, for the movie ""Batman Begins"" directed by Christopher Nolan."
"As the son of Rorion Gracie, he is a member of the Gracie family, and the nephew of Legends of MMA Hall of Famer Rickson Gracie and UFC Hall of Famer Royce Gracie.Rickson Gracie (] ; born November 21, 1958) is a Brazilian 9th degree red belt in Gracie Jiu-Jitsu and a retired mixed martial artist. Ralek Gracie is the nephew of a retired mixed martial artist who was born in which year ?",1958,1958,"Rickson Gracie, a Brazilian mixed martial artist, was born in 1968."
"Richard L. ""Rick"" Rosenthal, Jr. (born June 15, 1949) is an American film instructor and director, best known for directing ""Bad Boys"", the 1983 drama film that helped launch Sean Penn's career as well as episodes of many popular TV series (including """", ""Buffy the Vampire Slayer"" and ""Smallville"").Gary Nelson (born January 1934) is an American television and film director. Who is more recent, Rick Rosenthal or Gary Nelson?","Richard L. ""Rick"" Rosenthal, Jr.","Richard L. ""Rick"" Rosenthal, Jr.",Gary Nelson is more recent.
"La voix du bon Dieu (meaning ""The Good Lord's Voice"") is the debut studio album by Canadian singer Celine Dion, released on 6 November 1981 by Super Étoiles. He was the manager (1981–2014) and husband (1994–2016; his death) of singer Celine Dion. Who is the wife of Rene Angelil?",Celine Dion,Celine Dion,Rene Angelil's wife was the famous singer.
